user_id,bot,rate,opinion_tweet,friend_names,stubborn
16141770,0,16,0.58383,"14209885,14735121,14964767,15066876,16219269,16589206,18948541,22247596",0
22829554,0,7,0.57828,"428333,1367531,5392522,6817432,11866582,14861004,16825289,19289340",0
14819311,0,190,0.57135,"755425,2030711,2729061,7900962,13524182,13543502,14297863,14855994,15088481,15250836,15807367,15859912,15950681,15970820,15985111,16076032,16405557,16475168,16589206,16723868,16959075,17006157,17472479,17567828,17719592,17824099,18031839,18465936,18706257,18720595,19034656,19580890,19899980,20307797,21398055,21435474,21688445,22431577,22460046,22749718,22772880,22869375,23839835,23993215,1803981",0
13398432,0,22,0.57638,"767,428333,742143,759251,807095,1652541,1917731,2097571,2836421,3108351,3382691,6038602,6134882,6392972,6473022,7996082,8727232,8953122,9300262,13493302,14182704,14247236,14293310,14529929,14677919,14700316,14769899,14780915,14940354,15012486,15164565,15224867,15279429,15458694,15627954,15704760,15995155,16017475,16146515,16153562,16676396,17004618,17006157,17672825,18812301,18949452,19244142,19568591,19923638,20493166,20713247,21450023,21982720,22642788,22771961,23797471",0
22295592,0,3,0.5626,"12,428333,783214,972651,1367531,11134252,15234546,15513604,20733972",0
21661489,0,5,0.57827,"14204133,14522972,14594844,15207487,16017475,16259364,16334969,18948541,19515380,21102452,21502807,22080646,22375230,23973831",0
9166182,0,4,0.58916,"528,7482,10274,11382,30923,74543,636923,652193,769920,987681,1008591,1048651,1270851,1378531,1394361,2087371,3215861,4282171,5492112,5937722,6018562,7019512,7765592,7768402,9821342,9841042,10500412,11613712,13393052,14086367,14133964,14231571,14277600,14348594,14464766,14529929,14585066,14781473,14791162,15035366,15279429,15576928,15859039,15987657,16017475,16513335,16584283,16855888,17150022,17466132,17839555,18567399,18638800,18839937,18940767,19024569,19084896,19825370,20707070,20772763,20832113,21047371,631473,701323,10400972",0
18172510,0,3,0.58655,"12,509,767,1081,3839,23803,29283,79543,202003,428333,624413,626103,640893,652193,755991,782010,783214,807095,820585,852241,858051,891991,972651,975731,1035491,1045751,1050111,1106501,1140451,1175221,1234941,1309321,1344951,1386571,1489691,1630761,1702731,1787311,1910381,2020351,2234881,2371631,2384071,2735591,2884771,3108351,3460751,3652891,4207961,4547141,5392522,5668942,5721202,5741722,5763262,5959342,6141832,6154922,6183492,6267962,6332292,6392972,6466252,6811832,7313362,7696252,8119452,8228652,8453452,8475532,8732322,9300262,9328572,9366912,9468972,9532402,9676722,10122292,10141482,10260682,10288912,10322132,10482452,10696392,10755302,10782182,10950722,10952962,10979382,11435642,11578732,11584622,11616772,11621822,11687752,11688592,11744152,11794372,12185672,12193342,12245632,12455302,12798452,13148382,13368342,13371202,13436432,13494102,13524182,13676552,14011372,14061527,14086367,14090948,14096763,14097951,14122652,14134204,14135350,14181273,14243746,14251225,14304462,14305753,14328066,14368074,14412533,14437914,14462835,14481239,14515799,14519041,14529929,14532777,14560316,14588748,14619527,14834340,14852377,14929834,14940354,14985683,14987172,14996609,15066876,15067045,15166145,15257682,15276573,15358348,15441965,15496725,15534474,15550671,15610571,15640653,15675013,15682352,15727317,15792332,15801623,15856129,15859039,15908429,15931637,15950681,15956067,16001827,16002085,16006592,16017475,16073399,16076032,16120265,16194566,16248619,16255254,16259364,16313501,16319761,16363537,16381558,16399949,16608403,16609794,16886925,16892481,16935292,16955991,16975868,17035063,17040452,17136637,17162991,17243582,17243733,17316885,17369951,17385903,17566596,17824099,17957856,18020390,18037154,18149142,18290311,18343578,18345986,18374425,18464266,18533219,18646108,18678924,18751963,18766459,18771370,18814041,18962489,18963809,18978610,19019494,19038768,19084896,19269120,19380829,19568591,20086360,20182642,20192882,20398450,20520812,20562637,20772763,21020795,21100820,21111883,21118985,21139029,21212087,21268897,21576363,21792170,21862217,21878732,21907474,21982720,22205213,22275305,22642788,22732310,22756947,22771961,22931893,22989790,23339518,23746411,23782432,23839835,23948896,5356,10548,767578,4900391,6065942,10979382",0
14084960,0,8,0.58675,"12,528,767,953,2391,2426,3839,10350,10443,10545,11214,30923,36823,41783,128163,193753,612473,636923,652193,668243,717313,742143,752133,783214,795100,796264,807095,862681,901371,950531,975691,987681,1088411,1183041,1236101,1566661,1701371,2087371,2100521,2195241,2384071,2729061,2883191,2884771,3817401,4951981,5336752,5392522,5611152,5668942,5676102,5763262,5971922,5976992,6044272,6163262,6212382,6267962,6513952,6688272,6742522,6872082,7076492,7125712,7140572,7440462,7632132,7784792,7862582,7954452,8182392,8273142,8315692,8548612,8632762,8844032,8914942,8973062,9300262,9395312,9800632,10497032,10747572,11375732,11435642,11768142,12199652,12245632,12454882,13162762,13393052,13404292,13511652,13752192,13838472,14014372,14122768,14170609,14209885,14231571,14256647,14277681,14279598,14348594,14351942,14395202,14441363,14460241,14461214,14511951,14563376,14569869,14619527,14677919,14688310,14700316,14717197,14764240,14796866,14804579,14819870,14872837,14879825,14964767,15009761,15077782,15084853,15085507,15087582,15113341,15119140,15144505,15164565,15232821,15276283,15300995,15335662,15335778,15374401,15435173,15486485,15489291,15515656,15536076,15644999,15652014,15679924,15728161,15738599,15751204,15893354,15908631,15976705,15985111,15995155,16024323,16041234,16042794,16076032,16130403,16132035,16258145,16395449,16449217,16504257,16529457,16589206,16613670,16626073,16737325,16901213,16906137,16959075,16973333,17336372,17431654,17675405,17732153,17737614,17742169,18014005,18080002,18086313,18125335,18137723,18177957,18189672,18701824,18720595,18721044,18839937,18983429,19034656,19038768,19328543,19428539,19527964,19530289,19550262,19622305,19866490,19903360,19906615,19913112,19990980,20291015,20446992,20666354,20687723,20735038,20949949,20971849,20980592,21008866,21086052,21111999,21219240,21268897,21288674,21343442,21438445,21445143,21465838,21480871,21483809,21501056,21523363,21563704,21604764,22045087,22084427,22183204,22205213,22270118,22386062,22396466,22646514,22790104,22803302,23311608,23578176,23583267,23595091,23640124,23839835,953,6590,683523,814256,1586781,5603772,8776492",0
12624702,0,3,0.57396,"817113,1917731,4207961,9300262,13850422,14725649,15727317,15985111,16017475,16074627,17017636,17466132,18018355,19084896,21982720,22129280",0
22641534,0,3,0.58041,"807095,1917731,2608911,6329302,13259632,13407142,14068794,14323769,14465607,14529929,14676022,15094281,15174710,15224867,15554922,15736361,15784302,15958265,16214732,16520112,16684243,17565514,17576077,17854525,18088898,18432228,18754412,18974907,19362341,19568591,19608297,19740592,19824430,20572543,21583964,22111439,23745304",0
23933369,0,3,0.57402,"3840,428333,972651,1344951,1652541,1917731,2836421,2883841,2884771,7744592,8839632,11622712,11856892,12084362,12185672,12505022,13337292,13850422,14084482,14173315,14193769,14529929,14676022,14677919,14704715,15072617,15224867,15233524,15518629,15600217,15617140,15771033,15784302,15996661,16041234,16815644,16823455,16886925,17478965,17794461,18301196,18913509,19181549,19329393,19362341,19468364,19471456,19568591,19740592,20012204,21001534,21314814,21692297,21894812,22129280,22183090,22400230,22650211,22685200,22777708,22799750,23680913,1153,2331451",0
