user_id,bot,rate,opinion_tweet,friend_names,stubborn
12,0,6,0.57384,"17,22,59,76,528,586,767,874,953,1081,1153,3839,3840,5649,6735,10221,10350,12514,19853,36823,41783,43863,72403,652193,688483,777993,781293,783214,807095,808627,817083,820585,858051,862681,893211,899701,950531,1051171,1095691,1106501,1140451,1159251,1188951,1367531,1489691,1547221,1652541,1917731,2087371,2195241,2328421,2384071,3011771,3108351,3471901,3586271,4067601,4207961,4265731,5392522,5510452,5660912,5668942,5763262,6110012,6141832,6267962,6300882,6449282,6604912,6688272,6708952,6782762,7080152,7144882,7440462,7848802,7852612,8925322,8940882,8953122,9300262,9413702,9532402,9571702,9640742,9700152,9763482,10122292,10228272,10952962,11252962,11435642,11640472,12008602,12133382,12266442,12451812,12798452,13010422,13049362,13393052,13397202,13493302,13521702,13524182,14090948,14097951,14122768,14130207,14134204,14135350,14138167,14155907,14177942,14192329,14253109,14256647,14270650,14279598,14303535,14328066,14368074,14437914,14515799,14529929,14616610,14619527,14629315,14641347,14642495,14665369,14677919,14680556,14700316,14717197,14717846,14834340,14854462,14897303,14982804,15019630,15125592,15127834,15276401,15277129,15279429,15467229,15517162,15518170,15518560,15576928,15635604,15675138,15756974,15930926,16002085,16017475,16064749,16076032,16109631,16191793,16254381,16259251,16265742,16364095,16369797,16461246,16490974,16560657,16582131,16589206,16684243,16686144,16892481,16957618,16973333,17004618,17011177,17017636,17033908,17085007,17200756,17291393,17331288,17368405,17446621,17448965,17565514,17866318,17871814,17878322,17908607,17980523,17994509,17995040,18018355,18020246,18031210,18206161,18206547,18228898,18511475,18720595,18754872,18766459,18812301,18909973,18948541,18967418,19084896,19217369,19362341,19400611,19417492,19556080,19568591,19743953,19766751,19847019,20150502,20159596,20195619,20713061,20772763,21122578,21129818,21447363,21561935,21576543,21982720,22053725,22162854,22509938,22685200,22953665,22990962,23030211,23331708,23406730,23831682,23995748,665903,792130,1596141,6944982,7242802",0
17,0,13,0.59144,"1153,3840,815370,893211,3314751,3460751,7208262,7386292,8816072,8883702,8986922,10540702,11296142,14093212,14252957,14287669,14297863,14625146,14828486,15181839,15240491,15388703,15410816,15601132,15625504,15638190,15723918,16512565,16521268,16543550,16589509,16672810,16686948,16836943,17091688,17099823,17100556,17525171,17596673,17731073,17851387,17904464,18088416,18118520,18308638,18701256,18758463,19207266,19614563,20222744,20390529,21344248,22560204,22644834,23118937,23242773,23273932,23695085,12,155,953,32873,641783,5774442,9286532,10892692",0
22,0,4,0.58773,"12,17,409,528,586,953,1081,1497,2372,2426,3840,4999,10638,11848,12161,12400,12513,12514,30923,36823,74543,637533,652193,702043,774909,781293,783092,783214,790205,841791,862681,899701,1051171,1052961,1159251,1236101,1344951,1374361,1398821,1797691,1882601,2384071,2729061,2981431,3576561,3708641,4951981,5697482,5721202,6044272,6073442,6141832,6144932,6145712,6154922,6267962,6466252,7097602,7214022,7222652,8119452,8526432,9444512,9924762,10255262,10952962,11435642,13393052,13706042,14086716,14289197,14364006,14367669,14368074,14372270,14392347,14409265,14648779,14717846,15007815,15025621,15099054,15398651,15457928,15644999,15893116,16017475,16076032,16138831,16220555,16258145,16446445,16483747,16504257,16944165,17001490,17004618,17006157,17032014,17383707,17877122,17974481,19556080,19619556,20397734,20733972,20949658,21718571,23839835,23991863,324,953,66923,78343",0
55,0,8,0.907657526434,,1
59,0,3,0.57952,"12,76,953,6735,10221,755019,783214,1501471,6039302,7144882,8925322,9362352,11265832,12798452,13630352,13829772,13872282,14090948,14130207,14253109,14592994,14665369,14680556,14715424,14722589,14799978,14897303,15125592,15294166,15354348,15467229,15517162,16002507,16150136,16329237,16476911,16539990,16936858,16982481,17291393,17448965,17623526,17852401,17866318,17871814,17999412,18030811,18083797,18164662,18614130,18754872,18768097,19264279,19408886,19766751,20040971,20829322,21129818,21340977,22107793,22282018,22509938,5474512,6944982,10811972",0
76,0,14,0.57795,"12,59,953,6735,10221,428333,652193,755019,759251,783214,807095,1501471,2213591,2735591,2884771,3034251,3108351,3471901,5392522,5430872,5509762,5684312,5741722,5763262,6039302,6110012,6604912,7144882,7985892,8241232,8475532,8925322,9362352,9366912,9567972,9571702,11265832,11744152,13110902,13630352,13872282,14090948,14093464,14097951,14130207,14253109,14293310,14364006,14397195,14541696,14619572,14630585,14665369,14677919,14680556,14715424,14717846,14722589,14790432,14799978,14842416,14897303,14923268,14923988,14975008,15012486,15065434,15125592,15220505,15294166,15349556,15354348,15442431,15467229,15517162,15518560,15574391,15922115,15937952,16002507,16114692,16150136,16268340,16459122,16476911,16539990,16554704,16648790,16661744,16834491,16841829,16862139,16936858,16943719,16982481,17005439,17068692,17073225,17134268,17291393,17338640,17448965,17525171,17623526,17635305,17801112,17852401,17866318,17871814,17999412,18030811,18031210,18083797,18614130,18754872,18792698,18909973,18939358,18993263,19244137,19264279,19364132,19384564,19392099,19665434,19766751,19919877,19947114,20040971,20182089,20195619,20270911,20289118,20334773,20402945,20562637,20737428,20836715,21129818,21323268,21340977,21741761,21952951,22107793,22282018,22509938,22685200,22771961,22844921,22862623,22953665,22990962,23159259,23410991,23528788,23539291,23651080,23844971,6944982,7657782",0
155,0,1,0.59465,"30923,783214,899701,6449282,23176276,901651,6944982",0
293,0,3,0.58221,"17,528,2391,2426,738533,742143,783374,807095,875511,877531,1586871,1763261,2529561,2735591,5775562,5810752,6841332,7016052,7215512,7768402,7770012,7967332,10014822,13049362,14094741,14155907,14272579,14377605,14515799,14602589,14629315,14677919,14691200,14714760,14780915,14877600,15164565,15553222,15576928,16017475,16403267,16554719,16944165,17004618,17291452,17425383,18038245,18038269,20174444,20772763,21212087,23151062,23465125,6730222,8200682",0
324,0,4,0.57786,"12,59,76,586,767,885,953,1081,1497,1502,3839,3840,5626,7482,7738,10725,30923,36823,72403,202003,618223,626973,652193,688483,692763,735983,759251,768632,788673,807095,808627,817083,817970,820055,833071,858051,862481,896221,901651,975731,1035491,1090141,1095691,1140451,1159251,1175221,1236101,1270851,1308741,1344951,1367531,1536811,1547221,1899161,2195241,2384071,2729061,3034251,3108351,4265731,4557111,5487442,5676102,5731352,5763262,6141832,6145712,6474082,6487322,6507052,6562172,6708952,6730222,6904592,7097602,7179142,7336292,7380362,7386292,8475532,8622212,8925322,8953122,9273802,9413702,9464422,9532402,9571702,10458102,10747572,10755302,10798802,10952962,11435642,12002802,12040482,12193342,12193402,12230212,12418562,12439842,12451812,12798452,13128482,13521702,13566292,14031032,14096519,14138167,14181273,14192329,14213734,14231571,14251225,14253109,14304083,14328066,14367669,14368074,14392347,14400739,14402471,14485678,14497940,14502840,14515799,14529929,14650805,14687193,14762313,14769591,14787085,14834340,14897303,14901505,14958607,14992263,15097615,15098222,15111062,15210087,15224867,15319103,15550043,15635604,15744118,15756974,15770165,15856129,15931663,16002085,16016427,16017475,16138831,16340501,16347964,16350505,16370204,16399949,16407251,16461246,16513335,16688873,16855888,16892481,16906137,17004618,17011177,17011245,17076385,17094311,17299580,17446621,17469492,17877122,17911957,18011893,18025377,18124625,18196974,18206161,18592030,18805644,18881035,19268706,19546942,19580770,19660469,20067354,20608910,20611931,20675254,20733972,20776147,20779448,20791002,20798630,20832113,20955071,21001534,21168703,21576543,21636048,21829541,21960398,21982720,22278303,22522178,22545453,22745680,22771961,22803302,22832236,22997862,23283299,23316825,23331708,23356719,23450558,23651080,23831682,23839835,274883,1925361,3467761,6302522,7193962,7595982,9611862",0
409,0,15,0.58468,"12,22,586,953,2185,6735,7482,12161,12513,12514,19853,36823,74543,666153,731253,750213,808627,820585,875511,901651,1048651,2182141,3043421,3471901,3936151,6044272,6141832,6183492,6228302,6562172,8925322,9395312,9571702,10264122,11360522,12377822,13404292,13567742,13844972,14129585,14192329,14367669,14379613,14487298,14515931,14588121,14590010,14669799,14934739,16002085,16017472,16347964,16492861,17611727,17773446,18983429,19269120,20221325,20490915,20964111,21726443,22962785,23124441,23404794,23839835,6100082",0
